achievement_id,condition_type,condition_param,threshold,achievement_point_reward,name_key,desc_key
daily_cell_clear_5,CellClear,,5,5,UIDailyAchievement_Name_cell_clear,UIDailyAchievement_Desc_cell_clear
daily_cell_clear_10,CellClear,,10,10,UIDailyAchievement_Name_cell_clear,UIDailyAchievement_Desc_cell_clear
daily_cell_clear_20,CellClear,,20,20,UIDailyAchievement_Name_cell_clear,UIDailyAchievement_Desc_cell_clear
daily_event_cell_explorationpoint_3,EventCell,ExplorationPoint,3,8,UIDailyAchievement_Name_event_cell_explorationpoint,UIDailyAchievement_Desc_event_cell_explorationpoint
daily_event_cell_explorationpoint_6,EventCell,ExplorationPoint,6,16,UIDailyAchievement_Name_event_cell_explorationpoint,UIDailyAchievement_Desc_event_cell_explorationpoint
daily_event_cell_shiphealthheal_3,EventCell,ShipHealthHeal,3,8,UIDailyAchievement_Name_event_cell_shiphealthheal,UIDailyAchievement_Desc_event_cell_shiphealthheal
daily_event_cell_shiphealthheal_6,EventCell,ShipHealthHeal,6,16,UIDailyAchievement_Name_event_cell_shiphealthheal,UIDailyAchievement_Desc_event_cell_shiphealthheal
daily_event_cell_tacticpowerrestore_3,EventCell,TacticPowerRestore,3,8,UIDailyAchievement_Name_event_cell_tacticpowerrestore,UIDailyAchievement_Desc_event_cell_tacticpowerrestore
daily_event_cell_tacticpowerrestore_6,EventCell,TacticPowerRestore,6,16,UIDailyAchievement_Name_event_cell_tacticpowerrestore,UIDailyAchievement_Desc_event_cell_tacticpowerrestore
daily_zone_clear_total_3,ZoneClearTotal,,3,15,UIDailyAchievement_Name_zone_clear_total,UIDailyAchievement_Desc_zone_clear_total
daily_zone_clear_total_5,ZoneClearTotal,,5,25,UIDailyAchievement_Name_zone_clear_total,UIDailyAchievement_Desc_zone_clear_total
