commander_level,exp,ship_count
1,0,1
2,100,1
3,200,1
4,300,1
5,400,1
6,500,1
7,600,1
8,700,1
9,800,1
10,900,2
11,"1,100",2
12,"1,300",2
13,"1,500",2
14,"1,700",2
15,"1,900",2
16,"2,100",2
17,"2,300",2
18,"2,500",2
19,"2,700",2
20,"2,900",2
21,"3,100",2
22,"3,300",2
23,"3,500",2
24,"3,700",2
25,"3,900",2
26,"4,100",2
27,"4,300",2
28,"4,500",2
29,"4,700",2
30,"5,000",3
31,"7,000",3
32,"9,000",3
33,"11,000",3
34,"13,000",3
35,"15,000",3
36,"17,000",3
37,"19,000",3
38,"21,000",3
39,"23,000",3
40,"25,000",3
41,"29,000",3
42,"33,000",3
43,"37,000",3
44,"41,000",3
45,"45,000",3
46,"49,000",3
47,"53,000",3
48,"57,000",3
49,"61,000",3
50,"65,000",3
51,"71,000",3
52,"77,000",3
53,"83,000",3
54,"89,000",3
55,"95,000",3
56,"101,000",3
57,"107,000",3
58,"113,000",3
59,"119,000",3
60,"125,000",4
61,"133,000",4
62,"141,000",4
63,"149,000",4
64,"157,000",4
65,"165,000",4
66,"173,000",4
67,"181,000",4
68,"189,000",4
69,"197,000",4
70,"205,000",4
71,"215,000",4
72,"225,000",4
73,"235,000",4
74,"245,000",4
75,"255,000",4
76,"265,000",4
77,"275,000",4
78,"285,000",4
79,"295,000",4
80,"305,000",4
81,"325,000",4
82,"345,000",4
83,"365,000",4
84,"385,000",4
85,"405,000",4
86,"425,000",4
87,"445,000",4
88,"465,000",4
89,"485,000",4
90,"505,000",5
91,"545,000",5
92,"585,000",5
93,"625,000",5
94,"665,000",5
95,"705,000",5
96,"745,000",5
97,"785,000",5
98,"825,000",5
99,"865,000",5
100,"905,000",5
