commander_level,require_exp_base_stage,module_point_reward,ship_count,subtype_level
1,,0,1,1
2,1-4,2,1,1
3,1-9,3,1,2
4,2-4,4,1,2
5,2-10,5,1,2
6,3-7,6,2,3
7,4-4,7,2,3
8,5-2,8,2,4
9,6-1,9,2,4
10,7-1,10,2,5
11,8-1,11,2,5
12,9-2,12,3,6
13,10-3,13,3,6
14,11-5,14,3,6
15,12-8,15,3,6
16,14-2,16,3,7
17,15-6,17,3,7
18,17-1,18,3,7
19,18-7,19,3,7
20,20-3,20,3,8
21,21-10,21,3,8
22,23-8,22,3,8
23,25-6,23,3,8
24,27-5,24,3,9
25,29-5,25,4,9
26,31-5,26,4,9
27,33-6,27,4,9
28,35-8,28,4,10
29,37-10,29,4,10
30,40-4,30,4,10
31,42-7,31,4,10
32,45-2,32,4,11
33,47-7,33,4,11
34,50-3,34,4,11
35,52-10,35,4,11
36,55-7,36,4,12
37,58-5,37,4,12
38,61-3,38,4,12
39,64-3,39,4,12
40,67-3,40,4,13
41,70-3,41,5,13
42,73-5,42,5,13
43,76-7,43,5,13
44,79-9,44,5,14
45,83-3,45,5,14
46,86-7,46,5,14
47,90-2,47,5,14
48,93-7,48,5,14
49,97-3,49,5,14
50,100-10,50,5,14
