day,tier,rewardType,amount
1,Normal,ExplorationPoint,100
1,VIP,ExplorationPoint,200
2,Normal,ExplorationPoint,100
2,VIP,ExplorationPoint,200
3,Normal,ExplorationPoint,100
3,VIP,ExplorationPoint,200
4,Normal,ExplorationPoint,100
4,VIP,ExplorationPoint,200
5,Normal,ExplorationPoint,100
5,VIP,ExplorationPoint,200
6,Normal,ExplorationPoint,100
6,VIP,ExplorationPoint,200
7,Normal,ExplorationPoint,100
7,VIP,ExplorationPoint,200
8,Normal,ExplorationPoint,100
8,VIP,ExplorationPoint,200
9,Normal,ExplorationPoint,100
9,VIP,ExplorationPoint,200
10,Normal,ExplorationPoint,100
10,VIP,ExplorationPoint,200
11,Normal,ExplorationPoint,100
11,VIP,ExplorationPoint,200
12,Normal,ExplorationPoint,100
12,VIP,ExplorationPoint,200
13,Normal,ExplorationPoint,100
13,VIP,ExplorationPoint,200
14,Normal,ExplorationPoint,100
14,VIP,ExplorationPoint,200
15,Normal,ExplorationPoint,100
15,VIP,ExplorationPoint,200
16,Normal,ExplorationPoint,100
16,VIP,ExplorationPoint,200
17,Normal,ExplorationPoint,100
17,VIP,ExplorationPoint,200
18,Normal,ExplorationPoint,100
18,VIP,ExplorationPoint,200
19,Normal,ExplorationPoint,100
19,VIP,ExplorationPoint,200
20,Normal,ExplorationPoint,100
20,VIP,ExplorationPoint,200
21,Normal,ExplorationPoint,100
21,VIP,ExplorationPoint,200
22,Normal,ExplorationPoint,100
22,VIP,ExplorationPoint,200
23,Normal,ExplorationPoint,100
23,VIP,ExplorationPoint,200
24,Normal,ExplorationPoint,100
24,VIP,ExplorationPoint,200
25,Normal,ExplorationPoint,100
25,VIP,ExplorationPoint,200
26,Normal,ExplorationPoint,100
26,VIP,ExplorationPoint,200
27,Normal,ExplorationPoint,100
27,VIP,ExplorationPoint,200
28,Normal,ExplorationPoint,100
28,VIP,ExplorationPoint,200
