sub_type,unlock_achievement_point_cost,stat_point,health,repair,speed,turn_rate,attack,splash_radius,attack_cool,silence_time,air_count,air_maintenance_time,air_health,air_attack,air_attack_to_fighter,air_attack_range,air_attack_cool,air_speed,air_ammo,air_detect_radius,air_avoid_radius,air_disrupt,shield_gauge,shield_regen_rate,interceptor_count,interceptor_regen_time,description
hull_1_1_10000,0,100,100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_2_1_11000,0,200,200,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_3_1_11100,0,300,300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_4_1_21100,500,400,400,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_5_1_22100,1000,500,500,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_6_1_22200,2000,600,600,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_6_1_22201,2500,1200,600,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_6_1_22210,2500,1200,600,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_6_1_22211,3000,1800,600,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_7_1_32200,3000,700,700,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_7_1_32201,3500,1400,700,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_7_1_32210,3500,1400,700,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_7_1_32211,4000,2100,700,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_8_1_33200,4000,800,800,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_8_1_33201,4500,1600,800,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_8_1_33210,4500,1600,800,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_8_1_33211,5000,2400,800,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_9_1_33300,5000,900,900,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_9_1_33301,5500,1800,900,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_9_1_33310,5500,1800,900,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_9_1_33311,6000,2700,900,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_10_1_43300,6000,1500,1000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_10_1_43301,6500,3000,1000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_10_1_43310,6500,3000,1000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_10_1_43311,7000,4500,1000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_11_1_44300,7000,2000,1100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_11_1_44301,7500,4000,1100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_11_1_44310,7500,4000,1100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_11_1_44311,8000,6000,1100,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_12_1_44400,8000,2500,1200,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_12_1_44401,8500,5000,1200,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_12_1_44410,8500,5000,1200,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_12_1_44411,9000,7500,1200,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_13_1_54400,9000,3000,1300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_13_1_54401,9500,6000,1300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_13_1_54410,9500,6000,1300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_13_1_54411,10000,9000,1300,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_14_1_55400,10000,3500,1400,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_14_1_55401,10500,7000,1400,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_14_1_55410,10500,7000,1400,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hull_14_1_55411,11000,10500,1400,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_1_1,0,100,0,0,200,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_2_1,0,200,0,0,200,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_3_1,0,300,0,0,200,0,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_4_1,0,400,0,0,200,0,40,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_5_1,0,500,0,0,200,0,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_6_1,0,600,0,0,200,0,60,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_7_1,0,700,0,0,200,0,70,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_8_1,0,800,0,0,200,0,80,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_9_1,0,900,0,0,200,0,90,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_10_1,0,1000,0,0,200,0,100,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_11_1,0,1100,0,0,200,0,110,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_12_1,0,1200,0,0,200,0,120,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_13_1,0,1300,0,0,200,0,130,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
beam_14_1,0,1400,0,0,200,0,140,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_1_1,0,100,0,0,10,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_2_1,0,200,0,0,10,0,20,0,3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_3_1,0,300,0,0,10,0,30,0,3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_4_1,0,400,0,0,10,0,40,0,3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_5_1,0,500,0,0,10,0,50,0,3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_6_1,0,600,0,0,10,0,60,0,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_7_1,0,700,0,0,10,0,70,0,3,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_8_1,0,800,0,0,10,0,80,0,3,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_9_1,0,900,0,0,10,0,90,0,3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_10_1,0,1000,0,0,10,0,100,0,3,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_11_1,0,1100,0,0,10,0,110,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_12_1,0,1200,0,0,10,0,120,0,3,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_13_1,0,1300,0,0,10,0,130,0,3,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
missile_14_1,0,1400,0,0,10,0,140,0,3,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hangar_1_1,0,100,0,0,0,0,0,0,3,0,3,15,50,10,10,4,4,10,10,10,2,0.05,0,0,0,0,
hangar_2_1,0,200,0,0,0,0,0,0,3,0,3,15,50,11,11,4,4,10,10,10,2,0.1,0,0,0,0,
hangar_3_1,0,300,0,0,0,0,0,0,3,0,3,15,50,12,12,4,4,10,10,10,2,0.15,0,0,0,0,
hangar_4_1,0,400,0,0,0,0,0,0,3,0,3,15,50,13,13,4,4,10,10,10,2,0.2,0,0,0,0,
hangar_5_1,0,500,0,0,0,0,0,0,3,0,3,15,50,15,15,4,4,10,10,10,2,0.25,0,0,0,0,
hangar_6_1,0,600,0,0,0,0,0,0,3,0,3,15,50,16,16,4,4,10,10,10,2,0.3,0,0,0,0,
hangar_7_1,0,700,0,0,0,0,0,0,3,0,3,15,50,17,17,4,4,10,10,10,2,0.35,0,0,0,0,
hangar_8_1,0,800,0,0,0,0,0,0,3,0,3,15,50,18,18,4,4,10,10,10,2,0.4,0,0,0,0,
hangar_9_1,0,900,0,0,0,0,0,0,3,0,3,15,50,19,19,4,4,10,10,10,2,0.45,0,0,0,0,
hangar_10_1,0,1000,0,0,0,0,0,0,3,0,3,15,50,20,20,4,4,10,10,10,2,0.5,0,0,0,0,
hangar_11_1,0,1100,0,0,0,0,0,0,3,0,3,15,50,21,21,4,4,10,10,10,2,0.55,0,0,0,0,
hangar_12_1,0,1200,0,0,0,0,0,0,3,0,3,15,50,22,22,4,4,10,10,10,2,0.6,0,0,0,0,
hangar_13_1,0,1300,0,0,0,0,0,0,3,0,3,15,50,23,23,4,4,10,10,10,2,0.65,0,0,0,0,
hangar_14_1,0,1400,0,0,0,0,0,0,3,0,3,15,50,24,24,4,4,10,10,10,2,0.7,0,0,0,0,
shield_1_1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,0,0,
shield_2_1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,20,0,0,
shield_3_1,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,30,0,0,
shield_4_1,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,40,0,0,
shield_5_1,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,50,0,0,
shield_6_1,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,60,0,0,
shield_7_1,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,70,0,0,
shield_8_1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,80,0,0,
shield_9_1,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,90,0,0,
shield_10_1,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,100,0,0,
shield_11_1,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,110,0,0,
shield_12_1,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,120,0,0,
shield_13_1,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,130,0,0,
shield_14_1,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,140,0,0,
interceptor_1_1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,
interceptor_2_1,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,
interceptor_3_1,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,
interceptor_4_1,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,
interceptor_5_1,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,
interceptor_6_1,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,
interceptor_7_1,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,
interceptor_8_1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,
interceptor_9_1,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,
interceptor_10_1,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,
interceptor_11_1,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,
interceptor_12_1,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,
interceptor_13_1,0,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,
interceptor_14_1,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,
