research_id,prerequisites,ui_pos_x,ui_pos_y,cost_m,cost_mr,cost_me,cost_md
tech_level_1,,80,-40,0,0,0,0
tech_level_2,tech_level_1,280,-40,5000,0,0,0
tech_level_3,tech_level_2,480,-40,15000,0,0,0
body_t1_std_ver1,,80,-40,0,0,0,0
body_t1_adv_ver1,body_t1_std_ver1,280,-40,0,50000,0,0
beam_t1_std_ver1,,80,-40,0,0,0,0
beam_t1_adv_ver1,beam_t1_std_ver1,280,-40,0,50000,0,0
missile_t1_std_ver1,,80,-40,0,0,0,0
missile_t1_adv_ver1,missile_t1_std_ver1,280,-40,0,50000,0,0
hanger_t1_std_ver1,,80,-40,0,0,0,0
hanger_t1_adv_ver1,hanger_t1_std_ver1,280,-40,0,50000,0,0
