research_id,prerequisites,cost_mp
body_t1_m1,,0
body_t2_m1,body_t1_m1,2
body_t3_m1,body_t2_m1,3
body_t4_m1,body_t3_m1,4
body_t5_m1,body_t4_m1,5
body_t6_m1,body_t5_m1,6
body_t7_m1,body_t6_m1,7
body_t8_m1,body_t7_m1,8
body_t9_m1,body_t8_m1,9
body_t10_m1,body_t9_m1,10
body_t11_m1,body_t10_m1,11
body_t12_m1,body_t11_m1,12
body_t13_m1,body_t12_m1,13
body_t14_m1,body_t13_m1,14
beam_t1_m1,,0
beam_t2_m1,beam_t1_m1,2
beam_t3_m1,beam_t2_m1,3
beam_t4_m1,beam_t3_m1,4
beam_t5_m1,beam_t4_m1,5
beam_t6_m1,beam_t5_m1,6
beam_t7_m1,beam_t6_m1,7
beam_t8_m1,beam_t7_m1,8
beam_t9_m1,beam_t8_m1,9
beam_t10_m1,beam_t9_m1,10
beam_t11_m1,beam_t10_m1,11
beam_t12_m1,beam_t11_m1,12
beam_t13_m1,beam_t12_m1,13
beam_t14_m1,beam_t13_m1,14
missile_t1_m1,,0
missile_t2_m1,missile_t1_m1,2
missile_t3_m1,missile_t2_m1,3
missile_t4_m1,missile_t3_m1,4
missile_t5_m1,missile_t4_m1,5
missile_t6_m1,missile_t5_m1,6
missile_t7_m1,missile_t6_m1,7
missile_t8_m1,missile_t7_m1,8
missile_t9_m1,missile_t8_m1,9
missile_t10_m1,missile_t9_m1,10
missile_t11_m1,missile_t10_m1,11
missile_t12_m1,missile_t11_m1,12
missile_t13_m1,missile_t12_m1,13
missile_t14_m1,missile_t13_m1,14
hanger_t1_m1,,0
hanger_t2_m1,hanger_t1_m1,2
hanger_t3_m1,hanger_t2_m1,3
hanger_t4_m1,hanger_t3_m1,4
hanger_t5_m1,hanger_t4_m1,5
hanger_t6_m1,hanger_t5_m1,6
hanger_t7_m1,hanger_t6_m1,7
hanger_t8_m1,hanger_t7_m1,8
hanger_t9_m1,hanger_t8_m1,9
hanger_t10_m1,hanger_t9_m1,10
hanger_t11_m1,hanger_t10_m1,11
hanger_t12_m1,hanger_t11_m1,12
hanger_t13_m1,hanger_t12_m1,13
hanger_t14_m1,hanger_t13_m1,14
