research_id,prerequisites,cost_m,cost_mr,cost_me,cost_md,stack_time,ship_count
tech_level_1,,0,0,0,0,3,2
tech_level_2,tech_level_1,"3,000",0,0,0,3.5,3
tech_level_3,tech_level_2,"6,000",0,0,0,4,4
tech_level_4,tech_level_3,"12,000","3,000",0,0,4.5,4
tech_level_5,tech_level_4,"24,000","6,000",0,0,5,5
tech_level_6,tech_level_5,"48,000","12,000","3,000",0,5.5,5
tech_level_7,tech_level_6,"96,000","24,000","6,000",0,6,6
tech_level_8,tech_level_7,"192,000","48,000","12,000","3,000",6.5,6
tech_level_9,tech_level_8,"384,000","96,000","24,000","6,000",7,7
tech_level_10,tech_level_9,"768,000","192,000","48,000","12,000",7.5,7
tech_level_11,tech_level_10,"1,536,000","384,000","96,000","24,000",8,8
tech_level_12,tech_level_11,"3,072,000","768,000","192,000","48,000",8.5,8
tech_level_13,tech_level_12,"6,144,000","1,536,000","384,000","96,000",9,9
tech_level_14,tech_level_13,"12,288,000","3,072,000","768,000","192,000",9.5,9
