card_id,name_key,desc_key,rarity,effect_type,is_persistent,value1,value2,weight,icon_name
card_beam_attack_1per,RewardCard_BeamAttack_Name,RewardCard_BeamAttack_Desc,1,Buff_BeamAttack,True,0.01,0,20,bubbling-beam
card_beam_attack_2per,RewardCard_BeamAttack_Name,RewardCard_BeamAttack_Desc,1,Buff_BeamAttack,True,0.02,0,15,bubbling-beam
card_beam_attack_3per,RewardCard_BeamAttack_Name,RewardCard_BeamAttack_Desc,2,Buff_BeamAttack,True,0.03,0,10,bubbling-beam
card_beam_attack_4per,RewardCard_BeamAttack_Name,RewardCard_BeamAttack_Desc,2,Buff_BeamAttack,True,0.04,0,5,bubbling-beam
card_beam_attack_5per,RewardCard_BeamAttack_Name,RewardCard_BeamAttack_Desc,3,Buff_BeamAttack,True,0.05,0,2,bubbling-beam
card_beam_firerate_1per,RewardCard_BeamFireRate_Name,RewardCard_BeamFireRate_Desc,1,Buff_BeamFireRate,True,0.01,0,20,sinusoidal-beam
card_beam_firerate_2per,RewardCard_BeamFireRate_Name,RewardCard_BeamFireRate_Desc,1,Buff_BeamFireRate,True,0.02,0,15,sinusoidal-beam
card_beam_firerate_3per,RewardCard_BeamFireRate_Name,RewardCard_BeamFireRate_Desc,2,Buff_BeamFireRate,True,0.03,0,10,sinusoidal-beam
card_beam_firerate_4per,RewardCard_BeamFireRate_Name,RewardCard_BeamFireRate_Desc,2,Buff_BeamFireRate,True,0.04,0,5,sinusoidal-beam
card_beam_firerate_5per,RewardCard_BeamFireRate_Name,RewardCard_BeamFireRate_Desc,3,Buff_BeamFireRate,True,0.05,0,2,sinusoidal-beam
card_missile_attack_1per,RewardCard_MissileAttack_Name,RewardCard_MissileAttack_Desc,1,Buff_MissileAttack,True,0.01,0,20,missile-pod
card_missile_attack_2per,RewardCard_MissileAttack_Name,RewardCard_MissileAttack_Desc,1,Buff_MissileAttack,True,0.02,0,15,missile-pod
card_missile_attack_3per,RewardCard_MissileAttack_Name,RewardCard_MissileAttack_Desc,2,Buff_MissileAttack,True,0.03,0,10,missile-pod
card_missile_attack_4per,RewardCard_MissileAttack_Name,RewardCard_MissileAttack_Desc,2,Buff_MissileAttack,True,0.04,0,5,missile-pod
card_missile_attack_5per,RewardCard_MissileAttack_Name,RewardCard_MissileAttack_Desc,3,Buff_MissileAttack,True,0.05,0,2,missile-pod
card_missile_firerate_1per,RewardCard_MissileFireRate_Name,RewardCard_MissileFireRate_Desc,1,Buff_MissileFireRate,True,0.01,0,20,missile-swarm
