stepId,message,triggerType,targetPanelName,targetUIId,showArrow,arrowDirection,textBoxOffsetX,textBoxOffsetY,textBoxSizeX,textBoxSizeY,textBoxPositionX,textBoxPositionY,autoNextDelay,preActionPanelName,preActionTabName,conditionType,conditionThreshold,conditionCount,targetModuleType
step1,Tutorial_FirstPlay_OpenFleetTab,TargetClick,,FleetButton,True,Auto,0,0,0,0,0,-500,0,,,None,90,3,none
step2,Tutorial_FirstPlay_AddShip,TargetClick,TabFleet,AddShipButton,True,Auto,0,0,0,0,0,-500,0,,,None,90,3,none
step3,Tutorial_FirstPlay_CheckCommanderLevel,AnyClick,UIPopupConfirm,UISection_Require,True,Auto,0,0,0,0,0,-500,0,,,None,90,3,none
step4,Tutorial_FirstPlay_CheckModulePoint,AnyClick,UIPopupConfirm,UISection_Cost,True,Auto,0,0,0,0,0,-500,0,,,None,90,3,none
step5,Tutorial_FirstPlay_AddShipConfirm,TargetClick,UIPopupConfirm,ConfirmButton,True,Auto,0,0,0,0,0,-500,0,,,None,90,3,none
step6,,Custom,,,False,Auto,0,0,800,0,0,-500,0,,,ShipArrivedAtFormation,90,3,none
step7,Tutorial_FirstPlay_TouchShipSelector,TargetClick,ShipSelectorContainer,[4]/ShipSelectButton,True,Auto,0,100,0,0,0,-500,0,UIPanelFleet,,None,90,3,none
step8,Tutorial_FirstPlay_TouchShipManage,TargetClick,ShipSelectorContainer,[4]/ShipManageButton,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step9,Tutorial_FirstPlay_TouchModuleBeam,TargetClick,ModuleContainer,ModuleBeamSelector1,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step10,Tutorial_FirstPlay_LevelUpModuleBeam,TargetClick,ModuleLevelContainer,UpButton,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step11,Tutorial_FirstPlay_LevelUpModuleBeamResult,AnyClick,ModuleLevelContainer,[1],True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step12,Tutorial_FirstPlay_TouchModuleMissile,TargetClick,ModuleContainer,ModuleMissileSelector1,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step13,Tutorial_FirstPlay_LevelUpModuleMissile,TargetClick,ModuleLevelContainer,UpButton,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step14,Tutorial_FirstPlay_LevelUpModuleMissileResult,AnyClick,ModuleLevelContainer,[1],True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step15,Tutorial_FirstPlay_TouchModuleHanger,TargetClick,ModuleContainer,ModuleHangerSelector1,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step16,Tutorial_FirstPlay_LevelUpModuleHanger,TargetClick,ModuleLevelContainer,UpButton,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step17,Tutorial_FirstPlay_LevelUpModuleHangerResult,AnyClick,ModuleLevelContainer,[1],True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step18,Tutorial_FirstPlay_TouchModuleBody,TargetClick,ModuleContainer,ModuleBodySelector1,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step19,Tutorial_FirstPlay_UpgradeModuleBody,TargetClick,ModuleSubTypeContainer,UpButton,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step20,Tutorial_FirstPlay_UpgradeModuleBodyResult,AnyClick,ModuleSubTypeContainer,ModuleSubTypeText,True,Auto,0,100,0,0,0,-500,0,,,None,90,3,none
step21,Tutorial_FirstPlay_UpgradeModuleBodyEffect,AnyClick,ModuleContainer,ModuleBeamSelector2,True,Auto,0,0,0,0,0,-500,0,,,None,90,3,none
step22,Tutorial_FirstPlay_ManageShipComplete,AnyClick,,,True,Auto,0,0,0,0,0,-500,0,,,None,90,3,none
