zone_index,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,land_coverage,biome_blend,g_blend,deep_sea_color,shallow_sea_color,lowland_sand_color,lowland_green_color,plains_desert_color,plains_grass_color,plains_forest_color,highland_snow_color,has_polar_ice,ice_color,ice_color_edge,pole_ice_width,has_clouds,cloud_color,cloud_coverage,cloud_rotation,cloud_scale,cloud_mid_lat_opacity,cloud_mid_lat_center,cloud_mid_lat_width,cloud_softness,has_atmosphere,atmosphere_color,atmosphere_scale
1,0,0,0,0,0,-20,500,500,500,0.5,0.1137,0.86,#0D2673,#1959A5,#BFB380,#90C060,#A99159,#478C2E,#236523,#E8F0F5,False,#F2F9FF,#ADD1EF,0.12,True,#FFFFFFD8,0.5,0,1.01,0.75,0.37,0.19,0.5,True,#4C99FF,1.01
2,0,0,0,20,0,-20,500,500,500,0.4,0.0746,0.31,#0D2673,#1A59A6,#BFB380,#90C060,#A99159,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.192,277,1.01,0.75,0.35,0.19,0.5,True,#4D99FF,1.01
3,0,0,0,0,0,50,500,500,500,0.28,0,0,#D66600,#F7CA11,#BFB380,#E3F084,#A99159,#E4DA64,#C23D25,#C52225,False,#F2FAFF,#ADD1F0,0.12,True,#A50000D9,0.48,0,1.01,0.221,0.1,0,0.454,True,#FCC705,1.01
4,0,0,0,0,50,45,500,500,500,0.611,0.0657,0.78,#0D2673,#3E6EAA,#BFB380,#90C060,#D6C08E,#478C2E,#5F845F,#E8F0F5,True,#F2FAFF,#ADD1F0,0.12,False,#FFFFFFD9,0.348,0,1.001,0,0.25,0.12,0.3,True,#4D99FF,1.01
5,0,0,0,0,0,0,500,500,500,0.637,0.0884,1.57,#6F38D9,#6D19A6,#590090,#6860C0,#5968A9,#2D5B8C,#76297A,#71336A,False,#F2FAFF,#ADD1F0,0.12,False,#FFFFFFD9,0.5,0,1.01,0,0.25,0.12,0.3,True,#FF4DF6,1.01
6,0,0,0,0,100,0,500,500,500,0.5,0.098,0.61,#896C28,#A89260,#BB9F5C,#998147,#B6A170,#B27E05,#6E6144,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,False,#FFFFFFD9,0.5,0,1.001,0,0.25,0.12,0.3,True,#BC9F5D,1.01
7,0,0,0,10,140,10,500,500,500,0.5,0.01,0.47,#0D2673,#1A59A6,#576BCC,#0F2156,#6EB2A8,#2D6C8C,#233665,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.343,6,1.01,1,0.353,0.306,0.3,True,#4D99FF,1.01
8,0,0,0,0,0,0,500,500,500,0.618,0.01,0.61,#73330D,#A64C19,#A16A5B,#C06D60,#A95F59,#8C522D,#653A23,#D65941,True,#F2FAFF,#ADD1F0,0.12,False,#FFFFFFD9,0.5,0,1.01,0.75,0.37,0.19,0.5,False,#D65A42,1.01
9,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
10,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
11,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
12,0,0,0,0,0,0,500,500,500,0.578,0.01,0.68,#0D2673,#1A59A6,#265D24,#90C060,#11540D,#478C2E,#236523,#E8F0F5,False,#F2FAFF,#ADD1F0,0.12,True,#FFFFFFD9,0.24,0,1.01,0.569,0.379,0.327,0.471,True,#4D99FF,1.01
