zone_stage,stage,fleet_index,ship_index,body_type,body_level,beam_type,beam_level,beam_count,missile_type,missile_level,missile_count,hanger_type,hanger_level,hanger_count,body_ratio,beam_ratio,missile_ratio,hanger_ratio
1,1,0,0,body_t1_m1,1,beam_t1_m1,1,1,,,,,,,0.4,1,1,1
1,2,0,0,body_t1_m1,2,beam_t1_m1,2,1,missile_t1_m1,1,1,,,,0.5,1,1,1
1,3,0,0,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,0.6,1,1,1
1,4,0,0,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,0.7,1,1,1
1,5,0,0,body_t1_m1,5,beam_t1_m1,5,1,,,,,,,0.8,1,1,1
1,6,0,0,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
1,7,0,0,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
1,8,0,0,body_t1_m1,8,beam_t1_m1,8,1,missile_t1_m1,1,1,,,,1,1,1,1
1,9,0,0,body_t1_m1,9,beam_t1_m1,9,1,,,,,,,1,1,1,1
1,10,0,0,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
2,1,0,0,body_t2_m1,1,beam_t2_m1,1,2,,,,,,,1,1,1,1
2,2,0,0,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
2,3,0,0,body_t2_m1,3,beam_t2_m1,3,2,,,,,,,1,1,1,1
2,4,0,0,body_t2_m1,4,beam_t2_m1,4,2,missile_t2_m1,1,1,,,,1,1,1,1
2,5,0,0,body_t1_m1,5,beam_t1_m1,5,1,,,,,,,1,1,1,1
2,5,0,1,body_t1_m1,5,beam_t1_m1,5,1,,,,,,,1,1,1,1
2,6,0,0,body_t2_m1,6,beam_t2_m1,6,2,missile_t2_m1,1,1,,,,1,1,1,1
2,7,0,0,body_t2_m1,7,beam_t2_m1,7,2,,,,,,,1,1,1,1
2,8,0,0,body_t2_m1,8,beam_t2_m1,8,2,missile_t2_m1,1,1,,,,1,1,1,1
2,9,0,0,body_t2_m1,9,beam_t2_m1,9,2,,,,,,,1,1,1,1
2,10,0,0,body_t2_m1,10,beam_t2_m1,10,2,missile_t2_m1,1,1,hanger_t2_m1,1,1,1,1,1,1
3,1,0,0,body_t1_m1,1,beam_t1_m1,1,1,,,,,,,1,1,1,1
3,1,0,1,body_t1_m1,1,beam_t1_m1,1,1,,,,,,,1,1,1,1
3,1,0,2,body_t1_m1,1,beam_t1_m1,1,1,,,,,,,1,1,1,1
3,2,0,0,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
3,2,0,1,body_t1_m1,2,beam_t1_m1,2,1,missile_t1_m1,1,1,,,,1,1,1,1
3,3,0,0,body_t2_m1,3,beam_t2_m1,3,2,,,,,,,1,1,1,1
3,3,0,1,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
3,4,0,0,body_t2_m1,4,beam_t2_m1,4,2,missile_t2_m1,1,1,,,,1,1,1,1
3,4,0,1,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,1,1,1,1
3,5,0,0,body_t3_m1,5,beam_t3_m1,5,2,,,,,,,1,1,1,1
3,6,0,0,body_t2_m1,6,beam_t2_m1,6,2,missile_t2_m1,1,1,,,,1,1,1,1
3,6,0,1,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
3,7,0,0,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
3,7,0,1,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
3,7,0,2,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
3,8,0,0,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
3,9,0,0,body_t3_m1,9,beam_t3_m1,9,2,,,,,,,1,1,1,1
3,10,0,0,body_t3_m1,10,beam_t3_m1,10,2,missile_t3_m1,1,1,hanger_t3_m1,1,1,1,1,1,1
4,1,0,0,body_t2_m1,1,beam_t2_m1,1,2,,,,,,,1,1,1,1
4,1,0,1,body_t2_m1,1,beam_t2_m1,1,2,,,,,,,1,1,1,1
4,1,0,2,body_t1_m1,1,beam_t1_m1,1,1,,,,,,,1,1,1,1
4,2,0,0,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
4,2,0,1,body_t2_m1,2,beam_t2_m1,2,2,missile_t2_m1,1,1,,,,1,1,1,1
4,2,0,2,body_t1_m1,2,beam_t1_m1,2,1,missile_t1_m1,1,1,,,,1,1,1,1
4,3,0,0,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
4,3,0,1,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
4,3,0,2,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
4,3,0,3,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
4,3,0,4,body_t1_m1,3,beam_t1_m1,3,1,,,,,,,1,1,1,1
4,4,0,0,body_t3_m1,4,beam_t3_m1,4,2,missile_t3_m1,1,1,,,,1,1,1,1
4,4,0,1,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,1,1,1,1
4,4,0,2,body_t1_m1,4,beam_t1_m1,4,1,missile_t1_m1,1,1,,,,1,1,1,1
4,5,0,0,body_t3_m1,5,beam_t3_m1,5,2,,,,,,,1,1,1,1
4,5,0,1,body_t1_m1,5,beam_t1_m1,5,1,,,,,,,1,1,1,1
4,5,0,2,body_t1_m1,5,beam_t1_m1,5,1,,,,,,,1,1,1,1
4,6,0,0,body_t3_m1,6,beam_t3_m1,6,2,missile_t3_m1,1,1,,,,1,1,1,1
4,6,0,1,body_t2_m1,6,beam_t2_m1,6,2,missile_t2_m1,1,1,,,,1,1,1,1
4,7,0,0,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
4,7,0,1,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
4,7,0,2,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
4,7,0,3,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
4,7,0,4,body_t1_m1,7,beam_t1_m1,7,1,,,,,,,1,1,1,1
4,8,0,0,body_t3_m1,8,beam_t3_m1,8,2,missile_t3_m1,1,1,,,,1,1,1,1
4,8,0,1,body_t1_m1,8,beam_t1_m1,8,1,missile_t1_m1,1,1,,,,1,1,1,1
4,8,0,2,body_t1_m1,8,beam_t1_m1,8,1,missile_t1_m1,1,1,,,,1,1,1,1
4,9,0,0,body_t3_m1,9,beam_t3_m1,9,2,,,,,,,1,1,1,1
4,9,0,1,body_t1_m1,9,beam_t1_m1,9,1,,,,,,,1,1,1,1
4,9,0,2,body_t1_m1,9,beam_t1_m1,9,1,,,,,,,1,1,1,1
4,10,0,0,body_t4_m1,10,beam_t4_m1,10,2,missile_t4_m1,1,2,hanger_t4_m1,1,1,1,1,1,1
4,10,0,1,body_t1_m1,10,beam_t1_m1,10,1,missile_t1_m1,1,1,hanger_t1_m1,1,1,1,1,1,1
5,1,0,0,body_t3_m1,1,beam_t3_m1,1,2,,,,,,,1,1,1,1
5,1,0,1,body_t3_m1,1,beam_t3_m1,1,2,,,,,,,1,1,1,1
5,1,0,2,body_t1_m1,1,beam_t1_m1,1,1,,,,,,,1,1,1,1
5,2,0,0,body_t5_m1,2,beam_t5_m1,2,2,missile_t5_m1,1,2,,,,1,1,1,1
5,2,0,1,body_t1_m1,2,beam_t1_m1,2,1,missile_t1_m1,1,1,,,,1,1,1,1
5,2,0,2,body_t1_m1,2,beam_t1_m1,2,1,missile_t1_m1,1,1,,,,1,1,1,1
5,3,0,0,body_t5_m1,3,beam_t5_m1,3,2,,,,,,,1,1,1,1
5,3,0,1,body_t2_m1,3,beam_t2_m1,3,2,,,,,,,1,1,1,1
5,4,0,0,body_t5_m1,4,beam_t5_m1,4,2,missile_t5_m1,1,2,,,,1,1,1,1
5,4,0,1,body_t2_m1,4,beam_t2_m1,4,2,missile_t2_m1,1,1,,,,1,1,1,1
5,5,0,0,body_t4_m1,5,beam_t4_m1,5,2,,,,,,,1,1,1,1
5,5,0,1,body_t2_m1,5,beam_t2_m1,5,2,,,,,,,1,1,1,1
5,5,0,2,body_t1_m1,5,beam_t1_m1,5,1,,,,,,,1,1,1,1
5,6,0,0,body_t3_m1,6,beam_t3_m1,6,2,missile_t3_m1,1,1,,,,1,1,1,1
5,6,0,1,body_t2_m1,6,beam_t2_m1,6,2,missile_t2_m1,1,1,,,,1,1,1,1
5,6,0,2,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
5,6,0,3,body_t1_m1,6,beam_t1_m1,6,1,missile_t1_m1,1,1,,,,1,1,1,1
