zone,fleets,budget,max_tier,deviation
1,1,1,1,0
2,1,2,2,0
3,1,3,3,0
4,1,5,4,0
5,1,7,5,0
6,1,9,6,0
7,1,11,7,0
8,1,8,8,1
9,1,9,9,2
10,1,10,9,2
11,2,8,8,2
12,2,8,8,2
13,2,8,8,2
14,2,8,8,1
15,2,8,8,1
16,2,8,8,1
17,2,8,8,0
18,2,8,8,0
19,2,8,8,0
20,2,8,8,0
21,3,8,8,2
22,3,8,8,2
23,3,8,8,2
24,3,8,8,1
25,3,8,8,1
26,3,8,8,1
27,3,8,8,0
28,3,8,8,0
29,3,8,8,0
30,3,8,8,0
31,4,9,9,3
32,4,9,9,3
33,4,9,9,3
34,4,9,9,2
35,4,9,9,2
36,4,9,9,2
37,4,9,9,1
38,4,9,9,1
39,4,9,9,0
40,4,9,9,0
41,5,9,9,3
42,5,9,9,3
43,5,9,9,3
44,5,9,9,2
45,5,9,9,2
46,5,9,9,2
47,5,9,9,1
48,5,9,9,1
49,5,9,9,0
50,5,9,9,0
51,6,10,10,3
52,6,10,10,3
53,6,10,10,3
54,6,10,10,2
55,6,10,10,2
56,6,10,10,2
57,6,10,10,1
58,6,10,10,1
59,6,10,10,0
60,6,10,10,0
61,7,11,11,3
62,7,11,11,3
63,7,11,11,3
64,7,11,11,2
65,7,11,11,2
66,7,11,11,2
67,7,11,11,1
68,7,11,11,1
69,7,11,11,0
70,7,11,11,0
71,8,12,12,3
72,8,12,12,3
73,8,12,12,3
74,8,12,12,2
75,8,12,12,2
76,8,12,12,2
77,8,12,12,1
78,8,12,12,1
79,8,12,12,0
80,8,12,12,0
81,9,13,13,3
82,9,13,13,3
83,9,13,13,3
84,9,13,13,2
85,9,13,13,2
86,9,13,13,2
87,9,13,13,1
88,9,13,13,1
89,9,13,13,0
90,9,13,13,0
91,10,14,14,3
92,10,14,14,3
93,10,14,14,3
94,10,14,14,2
95,10,14,14,2
96,10,14,14,2
97,10,14,14,1
98,10,14,14,1
99,10,14,14,0
100,10,14,14,0
