grade,index,distance,rotx,roty,rotz
1,0,50,0,0,0
1,1,50,0,5,0
1,2,50,0,-5,0
1,3,50,-5,0,0
1,4,50,5,0,0
1,5,50,0,10,0
1,6,50,0,-10,0
1,7,50,-10,0,0
1,8,50,10,0,0
4,0,50,0,0,0
4,1,50,-10,15,0
4,2,50,-10,-15,0
4,3,50,10,15,0
4,4,50,10,-15,0
4,5,50,-20,20,0
4,6,50,20,-20,0
4,7,50,-20,20,0
4,8,50,20,-20,0
8,0,60,0,0,0
8,1,60,-10,20,0
8,2,60,-10,-20,0
8,3,60,10,20,0
8,4,60,10,-20,0
8,5,60,-20,25,0
8,6,60,-20,-25,0
8,7,60,20,25,0
8,8,60,20,-25,0
13,0,70,0,0,0
13,1,70,-20,25,0
13,2,70,-20,-25,0
13,3,70,20,25,0
13,4,70,20,-25,0
