zone_index,grid_width,grid_height,enemy_hull_tier_sum,enemy_base_hull_tier,enemy_max_ship_count,enemy_module_placement_probability,enemy_module_performance_probability,enemy_hull_weight_none,enemy_hull_weight_shield,enemy_hull_weight_interceptor,enemy_hull_weight_both,enemy_health_multiplier,enemy_attack_multiplier,enemy_wave_spawn_term_sec,exploration_point_reward,commander_exp_reward
1,3,3,1,1,1,1,1,100,0,0,0,0.25,0.1,5,10,10
2,3,3,1,1,1,1,1,100,0,0,0,0.45,0.2,5,11,11
3,3,3,1,1,1,1,1,100,0,0,0,0.65,0.3,5,12,12
4,3,3,1,1,1,1,1,98,1,1,0,0.85,0.4,5,13,13
5,5,5,1,1,1,1,1,98,1,1,0,1,0.5,5,14,14
6,5,5,2,2,1,0.4,0.4,98,1,1,0,1,0.6,5,15,15
7,5,5,2,2,1,0.6,0.6,98,1,1,0,1,0.7,5,16,16
8,5,5,2,2,1,0.7,0.7,98,1,1,0,1,0.8,5,17,17
9,5,5,2,2,1,0.8,0.8,98,1,1,0,1,0.9,5,18,18
10,5,5,3,2,2,0.9,0.9,98,1,1,0,1,1,5,19,19
11,5,5,3,2,2,1,1,98,1,1,0,1,1,5,20,20
12,5,5,3,2,2,0.2,0.2,98,1,1,0,1,1,5,21,21
13,5,5,4,3,2,0.3,0.3,98,1,1,0,1,1,5,22,22
14,5,5,4,3,2,0.4,0.4,98,1,1,0,1,1,5,23,23
15,5,5,4,3,2,0.5,0.5,98,1,1,0,1,1,5,24,24
16,5,5,4,3,2,0.6,0.6,98,1,1,0,1,1,5,25,25
17,5,5,5,3,2,0.7,0.7,98,1,1,0,1,1,5,26,26
18,5,5,5,3,2,0.8,0.8,98,1,1,0,1,1,5,27,27
19,5,5,5,3,2,0.9,0.9,98,1,1,0,1,1,5,28,28
20,5,5,5,3,2,1,1,98,1,1,0,1,1,5,29,29
21,5,5,6,3,2,1,1,98,1,1,0,1,1,5,30,30
22,5,5,6,3,2,0.2,0.2,98,1,1,0,1,1,5,31,31
23,5,5,6,3,2,0.3,0.3,98,1,1,0,1,1,5,32,32
24,5,5,6,3,2,0.4,0.4,98,1,1,0,1,1,5,33,33
