zone,stage,mineral_reward,exp_reward,module_point_reward,spawn_term,fleet_pos_x,fleet_pos_y,fleet_pos_z,fleet_rot_y,playerFireDelay,enemyFireDelay
1,1,10,10,3,20,-11000,0,4688,90,0,0
1,2,10,11,3,20,-8556,0,-3408,90,0,0
1,3,10,12,3,20,-6111,0,1668,90,0,0
1,4,10,13,3,20,-3667,0,4025,90,0,0
1,5,10,14,3,20,-1222,0,-1454,90,0,0
1,6,10,15,3,20,1222,0,4487,90,0,0
1,7,10,16,3,20,3667,0,2117,90,0,0
1,8,10,17,3,20,6111,0,-1508,90,0,0
1,9,10,18,3,20,8556,0,-3512,90,0,0
1,10,10,19,3,20,11000,0,4650,90,0,0
,,,,,,,,,,,
2,1,20,20,4,20,-11000,0,-2887,90,0,0
2,2,20,21,4,20,-8556,0,10,90,0,0
2,3,20,22,4,20,-6111,0,-2533,90,0,0
2,4,20,23,4,20,-3667,0,32,90,0,0
2,5,20,24,4,20,-1222,0,-1616,90,0,0
2,6,20,25,4,20,1222,0,174,90,0,0
2,7,20,26,4,20,3667,0,2791,90,0,0
2,8,20,27,4,20,6111,0,-4761,90,0,0
2,9,20,28,4,20,8556,0,1380,90,0,0
2,10,20,29,4,20,11000,0,-3771,90,0,0
,,,,,,,,,,,
3,1,30,30,5,20,-11000,0,-462,90,0,0
3,2,30,31,5,20,-8556,0,3429,90,0,0
3,3,30,32,5,20,-6111,0,-356,90,0,0
3,4,30,33,5,20,-3667,0,1518,90,0,0
3,5,30,34,5,20,-1222,0,-1770,90,0,0
3,6,30,35,5,20,1222,0,4475,90,0,0
3,7,30,36,5,20,3667,0,-4074,90,0,0
3,8,30,37,5,20,6111,0,3990,90,0,0
3,9,30,38,5,20,8556,0,-1889,90,0,0
3,10,30,39,5,20,11000,0,1816,90,0,0
,,,,,,,,,,,
4,1,40,40,5,20,-11000,0,1964,90,0,0
4,2,40,41,5,20,-8556,0,-3152,90,0,0
4,3,40,42,5,20,-6111,0,-1368,90,0,0
4,4,40,43,5,20,-3667,0,4353,90,0,0
4,5,40,44,5,20,-1222,0,-3820,90,0,0
