Key,Id,English(en),Korean(ko)
Tutorial_FirstPlay_AiFirstHello,,"Hello again, Commander. This is your training AI.
Let's continue today's training to become a fleet commander.","안녕하세요, 지휘관님. 훈련 AI입니다.
오늘도 함대 지휘관이 되기 위한 훈련을 이어 가겠습니다."
Tutorial_FirstPlay_SiegfriedAddShip,,"The Siegfried Fleet needs a new ship right now. Please follow my instructions and proceed.","지크프리트 함대는 지금 새로운 함선을 추가해야 합니다. 제 설명에 따라 진행해 주세요."
Tutorial_FirstPlay_OpenFleetPanel,,"Open the Fleet Manage Panel.","함대 관리창을 열어보세요."
Tutorial_FirstPlay_DeployShip,,"Press the Deploy Ship button.","함선 배치 버튼을 눌러보세요."
Tutorial_FirstPlay_CheckCommanderLevel,,"Select the hull for the ship you want to add.","추가할 함선의 함체를 선택하세요."
Tutorial_FirstPlay_CheckModulePoint,,"Placing a hull requires allocating a certain amount of Command Power. Please choose one that doesn't exceed your Command Power limit.","함체 배치에는 일정 지휘력을 할당해야 합니다. 지휘력 한도를 넘지 않게 선택해주세요."
Tutorial_FirstPlay_AddShipConfirm,,"Press Confirm to finalize your selection.","최종 적용을 위해서는 확인을 누르세요."
Tutorial_FirstPlay_AddShipComplete,,"The new ship has been added.","함선이 추가되었습니다."

Tutorial_FirstPlay_SelectPlacedShip,,"The new ship has been added. Select it.","함선이 추가되었습니다. 해당 함선을 선택하세요."
Tutorial_FirstPlay_OpenLoadoutEditor,,"Press the Edit Ship button to edit its modules.","함선 수정 버튼을 눌러 모듈을 편집하세요."
Tutorial_FirstPlay_ToggleBeamInstall,,"Try installing the Beam module.","빔 모듈을 설치해 보세요."
Tutorial_FirstPlay_LoadoutConfirm,,"Press Confirm to apply the changes.","변경 사항을 적용하려면 확인을 누르세요."
Tutorial_FirstPlay_ManageShipComplete,,"This concludes the ship management training.","함선 관리 훈련 과정은 이만 마치도록 하겠습니다."

Tutorial_FirstPlay_EnemyAlert,,"Emergency! Multiple enemy fleets approaching!!","긴급 상황, 적 함대 다수 접근 중!!"
Tutorial_FirstPlay_EnemyFleetWrapIn,,"The enemy fleet is warping in.","적 함대가 워프인하고 있습니다."
Tutorial_FirstPlay_FleetBattle,,"Is it fortunate or unfortunate to experience a fleet battle?","함대 간 전투를 경험해 보는 건 운이 좋은 걸까요, 나쁜 걸까요?"
Tutorial_FirstPlay_EnemyFleetWrapIn2,,"A massive enemy fleet is warping in.","엄청난 규모의 적 함대가 워프인하고 있습니다."
Tutorial_FirstPlay_Defeat,,"The battle situation is very unfavorable. All personnel except essential combat commanders must board the escape ship immediately.","전황이 매우 불리합니다. 필수 전투 지휘관을 제외한 모든 자원은 지금 즉시 탈출 함선에 탑승 바랍니다."
Tutorial_FirstPlay_EscapeAlert,,"Evacuating immediately.","지금 즉시 탈출합니다."
Tutorial_FirstPlay_Escape,,"You are now the commander of this ship.","당신은 이제 이 함선의 지휘관입니다."
Tutorial_FirstPlay_Complete,,"Please lead this ship and fleet well, so you can reach the farthest ends of space, beyond the enemy's reach.","적들의 손길이 닿지 않을 만큼 멀고 먼 우주의 끝에 도달할 수 있도록 이 함선, 함대를 잘 이끌어 주시기 바랍니다."
Tutorial_MineralUnlock_Intro,,"Module Points alone won't be enough to overcome the enemies ahead.","이제부터는 모듈 포인트만으로는 앞으로 만날 적들을 이겨내기 어려울 것입니다."
Tutorial_MineralUnlock_ToggleButton,,"You can now upgrade modules with Mineral too. Try switching to Mineral upgrade mode.","이제 미네랄로도 모듈을 강화할 수 있습니다. 미네랄 강화 모드로 변경해 보세요."
Tutorial_MineralUnlock_ExplainUiPosition,,"The total amount of Mineral used for upgrades is shown next to your Mineral balance.","미네랄 강화에 사용한 미네랄의 총량은 보유 미네랄 옆에 표시됩니다."
Tutorial_MineralUnlock_ExplainCost,,"Mineral used for upgrades can be reclaimed anytime, but is permanently deducted once you win the battle.","미네랄 강화에 사용한 미네랄은 언제든 회수할 수 있지만, 전투에서 승리하면 영구적으로 차감됩니다."
Tutorial_Exploration_Intro,,"To grow your fleet and withstand the enemies in pursuit, you need to explore to gain resources and strengthen your fleet. Try tapping the Exploration button.","함대를 키워 적들의 추격에 대응하기 위해서는 탐사를 통해 자원을 얻고 함대를 강화해야 합니다. 탐사 버튼을 눌러보세요."
Tutorial_Exploration_CheckResource,,"Check the resources you can earn by clearing this stage.","이 스테이지를 클리어하면 얻을 수 있는 자원을 확인하세요."
Tutorial_Exploration_Enter,,"Enter the stage.","스테이지에 입장하세요."
Tutorial_Exploration_Confirm,,"Confirm your entry.","입장을 확인하세요."
